# n	Estandar(us)	Strassen(us)
16	3	3.09
24	13.12	12.93
32	37.4	33.83
40	63.5	55.94
48	95.99	89.84
56	150.2	142.41
64	239.11	203.63
80	545.3	385.45
96	924.1	661.1
112	1493.35	1028.55
128	2279.9	1494.45
256	19533.7	10734.5
512	161625	80001.8
1024	2.84611e+06	557366
